,nature,outlier,stocks
1,Assertive,[],[28]
2,Balanced,[],[20]
3,Conservative,[],[54]
4,Balanced,[],[22]
5,Balanced,[],[27]
6,Balanced,[],[27]
7,Balanced,[],[49]
8,Balanced,[],[9]
9,Assertive,[],[44]
10,Assertive,[],[33]
11,Balanced,[43],[43]
12,Balanced,[],[14]
13,Balanced,[],[9]
14,Balanced,[],[26]
15,Assertive,[60],[60]
16,Balanced,[],[48]
17,Balanced,[],[30]
18,Assertive,[27],[27]
19,Assertive,[],[25]
20,Assertive,[],[29]
21,Assertive,[],"[24, 44]"
22,Balanced,[],[17]
23,Balanced,[31],[31]
24,Balanced,[],[24]
25,Assertive,[],[40]
26,Balanced,[],"[34, 27]"
27,Balanced,[11],[11]
28,Balanced,[],"[30, 52]"
29,Aggressive,[34],"[11, 34]"
30,Assertive,[],[48]
31,Balanced,[],[24]
32,Assertive,[],"[16, 21, 34]"
33,Balanced,[],[52]
34,Assertive,[],"[36, 26]"
35,Balanced,[],[23]
36,Balanced,[],[24]
37,Conservative,[],[34]
38,Balanced,[],"[22, 38]"
39,Balanced,[],[34]
40,Balanced,[],[25]
41,Assertive,[41],"[47, 41]"
42,Balanced,[],[27]
43,Balanced,[],"[44, 28]"
44,Balanced,[37],"[36, 18, 37, 16]"
45,Assertive,[],"[50, 44]"
46,Balanced,[43],"[34, 43]"
47,Assertive,[],"[21, 38]"
48,Assertive,[],[16]
49,Assertive,[],[19]
50,Balanced,[],[23]
51,Assertive,[23],[23]
52,Balanced,[],[44]
53,Assertive,[43],[43]
54,Balanced,[],[19]
55,Assertive,[],[48]
56,Assertive,[],[28]
57,Balanced,[],"[46, 40]"
58,Balanced,[],"[9, 36]"
59,Balanced,[31],[31]
60,Balanced,[],"[42, 45]"
61,Assertive,[],[30]
62,Assertive,[],"[36, 24]"
63,Balanced,[],"[8, 30]"
64,Assertive,[43],"[43, 7]"
65,Balanced,[],"[27, 22]"
66,Assertive,[46],"[46, 14, 21, 35]"
67,Balanced,[],[57]
68,Balanced,[37],"[37, 53]"
69,Balanced,[31],"[8, 31]"
70,Assertive,[41],"[29, 41]"
71,Balanced,[],[36]
72,Balanced,[13],"[13, 22, 10]"
73,Balanced,[],"[24, 28]"
74,Balanced,[],"[26, 58, 35]"
75,Assertive,"[41, 37]","[41, 37, 7]"
76,Assertive,[],[28]
77,Balanced,[],[10]
78,Balanced,[],[21]
79,Assertive,[32],"[53, 21, 29, 32]"
80,Balanced,[],[44]
81,Balanced,[43],"[43, 21]"
82,Assertive,[],"[33, 34]"
83,Conservative,[42],[42]
84,Balanced,[],[41]
85,Conservative,[],[28]
86,Balanced,[],"[53, 34]"
87,Balanced,[],[26]
88,Balanced,[],"[24, 22, 20]"
89,Balanced,[],[47]
90,Balanced,[],"[34, 25]"
91,Balanced,[],[32]
92,Balanced,[],"[32, 51]"
93,Balanced,[31],"[44, 31]"
94,Balanced,[],"[25, 30]"
95,Balanced,[],"[47, 15]"
96,Assertive,[],"[29, 28, 40]"
97,Balanced,[],[18]
98,Assertive,[],[19]
99,Assertive,[],"[16, 36, 19, 26]"
100,Assertive,[46],[46]
101,Balanced,[],"[18, 21]"
102,Balanced,[13],"[29, 13]"
103,Balanced,[],"[25, 36, 26]"
104,Assertive,[23],[23]
105,Balanced,[33],"[27, 33, 24]"
106,Assertive,[],[25]
107,Assertive,"[46, 9, 41]","[46, 15, 9, 41]"
108,Assertive,[],"[57, 22]"
109,Assertive,[],"[22, 45]"
110,Assertive,[46],"[7, 24, 46, 36]"
111,Balanced,[],"[21, 30]"
112,Balanced,[],"[36, 21]"
113,Balanced,[31],"[31, 27]"
114,Balanced,"[31, 33]","[20, 31, 32, 33]"
115,Balanced,[33],[33]
116,Aggressive,"[41, 32]","[41, 32, 14]"
117,Aggressive,[],"[38, 11]"
118,Balanced,"[33, 39]","[33, 39]"
