no,Q1,P1,Q2,P2,Q3,P3,Q4,P4,Q5,P5,Q6,P6,Q7,P7,Q8,P8,Q9,P9,Q10,P10,Q11,P11,Q12,P12,Total,CustomerId,Classification
0,1,5,3,3,1,5,3,5,4,7,2,3,4,7,2,3,4,7,1,1,1,0,2,1,47,1,Assertive
1,3,1,4,5,3,1,1,1,2,3,1,1,4,7,4,7,1,1,1,1,2,1,2,1,30,2,Balanced
2,5,3,2,2,3,1,1,1,2,3,4,7,2,3,1,1,1,1,1,1,1,0,1,0,23,3,Conservative
3,2,3,1,1,2,2,2,3,4,7,4,7,3,5,1,1,4,7,2,3,1,0,1,0,39,4,Balanced
4,4,5,4,5,1,5,1,1,4,7,1,1,2,3,3,5,1,1,1,1,1,0,2,1,35,5,Balanced
5,2,3,2,2,1,5,2,3,5,9,3,5,2,3,1,1,2,3,3,5,1,0,2,1,40,6,Balanced
6,6,1,5,7,3,1,4,7,5,9,1,1,1,1,3,5,1,1,1,1,2,1,1,0,35,7,Balanced
7,4,5,3,3,1,5,2,3,1,1,2,3,3,5,4,7,1,1,1,1,1,0,2,1,35,8,Balanced
8,6,1,4,5,2,2,1,1,4,7,3,5,3,5,4,7,4,7,4,7,1,0,2,1,48,9,Assertive
9,5,3,3,3,2,2,4,7,4,7,1,1,1,1,3,5,5,9,3,5,1,0,2,1,44,10,Assertive
10,5,3,4,5,2,2,2,3,1,1,2,3,2,3,1,1,3,5,2,3,1,0,2,1,30,11,Balanced
11,4,5,2,2,3,1,1,1,3,5,1,1,4,7,3,5,5,9,3,5,1,0,1,0,41,12,Balanced
12,6,1,1,1,3,1,3,5,1,1,3,5,2,3,2,3,3,5,4,7,1,0,1,0,32,13,Balanced
13,3,1,3,3,2,2,2,3,3,5,2,3,2,3,2,3,2,3,3,5,2,1,2,1,33,14,Balanced
14,1,5,3,3,3,1,4,7,2,3,3,5,3,5,2,3,5,9,1,1,1,0,2,1,43,15,Assertive
15,5,3,3,3,3,1,4,7,2,3,1,1,4,7,1,1,5,9,1,1,1,0,1,0,36,16,Balanced
16,3,1,4,5,2,2,2,3,3,5,2,3,2,3,1,1,5,9,2,3,1,0,1,0,35,17,Balanced
17,4,5,4,5,1,5,1,1,5,9,4,7,2,3,2,3,1,1,3,5,1,0,1,0,44,18,Assertive
18,3,1,5,7,1,5,2,3,4,7,2,3,3,5,1,1,3,5,4,7,1,0,1,0,44,19,Assertive
19,4,5,3,3,2,2,3,5,5,9,1,1,4,7,3,5,3,5,1,1,2,1,1,0,44,20,Assertive
20,4,5,1,1,1,5,3,5,2,3,4,7,1,1,4,7,3,5,3,5,1,0,1,0,44,21,Assertive
21,4,5,4,5,3,1,1,1,2,3,3,5,4,7,3,5,3,5,2,3,2,1,1,0,41,22,Balanced
22,2,3,4,5,3,1,2,3,2,3,4,7,2,3,3,5,3,5,3,5,2,1,1,0,41,23,Balanced
23,6,1,4,5,1,5,2,3,3,5,4,7,1,1,4,7,2,3,1,1,1,0,1,0,38,24,Balanced
24,3,1,5,7,1,5,2,3,2,3,2,3,3,5,2,3,5,9,2,3,2,1,2,1,44,25,Assertive
25,2,3,2,2,2,2,2,3,2,3,1,1,3,5,2,3,2,3,4,7,1,0,2,1,33,26,Balanced
26,4,5,3,3,3,1,4,7,1,1,3,5,1,1,3,5,4,7,1,1,1,0,2,1,37,27,Balanced
27,6,1,3,3,2,2,3,5,2,3,1,1,2,3,2,3,3,5,3,5,1,0,1,0,31,28,Balanced
28,2,3,2,2,2,2,3,5,5,9,4,7,4,7,4,7,5,9,3,5,2,1,1,0,57,29,Aggressive
29,6,1,5,7,2,2,4,7,3,5,4,7,1,1,2,3,2,3,4,7,1,0,1,0,43,30,Assertive
30,5,3,4,5,2,2,4,7,1,1,1,1,2,3,2,3,2,3,1,1,1,0,1,0,29,31,Balanced
31,1,5,2,2,2,2,3,5,2,3,2,3,4,7,2,3,5,9,2,3,2,1,1,0,43,32,Assertive
32,1,5,2,2,3,1,4,7,3,5,1,1,4,7,1,1,3,5,1,1,1,0,2,1,36,33,Balanced
33,3,1,3,3,2,2,4,7,5,9,4,7,3,5,1,1,3,5,4,7,2,1,1,0,48,34,Assertive
34,1,5,1,1,2,2,3,5,2,3,1,1,1,1,3,5,4,7,3,5,1,0,2,1,36,35,Balanced
35,6,1,5,7,2,2,3,5,1,1,3,5,4,7,2,3,3,5,1,1,1,0,2,1,38,36,Balanced
36,2,3,2,2,3,1,1,1,2,3,1,1,2,3,1,1,1,1,2,3,1,0,1,0,19,37,Conservative
37,6,1,3,3,3,1,1,1,3,5,3,5,2,3,1,1,4,7,3,5,2,1,2,1,34,38,Balanced
38,1,5,2,2,1,5,2,3,2,3,3,5,3,5,1,1,4,7,1,1,2,1,2,1,39,39,Balanced
39,4,5,5,7,1,5,1,1,1,1,2,3,1,1,3,5,3,5,4,7,2,1,1,0,41,40,Balanced
40,1,5,4,5,1,5,3,5,5,9,3,5,3,5,2,3,3,5,2,3,1,0,2,1,51,41,Assertive
41,6,1,5,7,2,2,2,3,3,5,1,1,3,5,2,3,5,9,1,1,1,0,1,0,37,42,Balanced
42,5,3,4,5,3,1,2,3,1,1,1,1,3,5,2,3,4,7,4,7,1,0,2,1,37,43,Balanced
43,6,1,3,3,1,5,2,3,2,3,2,3,3,5,3,5,2,3,4,7,2,1,2,1,40,44,Balanced
44,4,5,1,1,1,5,2,3,2,3,4,7,4,7,3,5,3,5,2,3,2,1,1,0,45,45,Assertive
45,6,1,2,2,2,2,2,3,2,3,4,7,2,3,3,5,5,9,2,3,1,0,2,1,39,46,Balanced
46,3,1,1,1,1,5,2,3,1,1,4,7,3,5,4,7,3,5,3,5,2,1,2,1,42,47,Assertive
47,5,3,5,7,2,2,2,3,3,5,2,3,4,7,3,5,4,7,2,3,2,1,2,1,47,48,Assertive
