CustomerId,Q1,P1,Q2,P2,Q3,P3,Q4,P4,Q5,P5,Q6,P6,Q7,P7,Q8,P8,Q9,P9,Q10,P10,Q11,P11,Q12,P12,Total,Classification
ZM0023,1,5,3,3,1,5,3,5,4,7,2,3,4,7,2,3,4,7,1,1,1,0,2,1,47,Assertive
ZM0034,3,1,4,5,3,1,1,1,2,3,1,1,4,7,4,7,1,1,1,1,2,1,2,1,30,Balanced
ZM0038,5,3,2,2,3,1,1,1,2,3,4,7,2,3,1,1,1,1,1,1,1,0,1,0,23,Conservative
ZM0040,2,3,1,1,2,2,2,3,4,7,4,7,3,5,1,1,4,7,2,3,1,0,1,0,39,Balanced
ZM0041,4,5,4,5,1,5,1,1,4,7,1,1,2,3,3,5,1,1,1,1,1,0,2,1,35,Balanced
ZM0043,2,3,2,2,1,5,2,3,5,9,3,5,2,3,1,1,2,3,3,5,1,0,2,1,40,Balanced
ZM0045,6,1,5,7,3,1,4,7,5,9,1,1,1,1,3,5,1,1,1,1,2,1,1,0,35,Balanced
ZM0047,4,5,3,3,1,5,2,3,1,1,2,3,3,5,4,7,1,1,1,1,1,0,2,1,35,Balanced
ZM0052,6,1,4,5,2,2,1,1,4,7,3,5,3,5,4,7,4,7,4,7,1,0,2,1,48,Assertive
ZM0054,5,3,3,3,2,2,4,7,4,7,1,1,1,1,3,5,5,9,3,5,1,0,2,1,44,Assertive
ZM0066,5,3,4,5,2,2,2,3,1,1,2,3,2,3,1,1,3,5,2,3,1,0,2,1,30,Balanced
ZM0070,4,5,2,2,3,1,1,1,3,5,1,1,4,7,3,5,5,9,3,5,1,0,1,0,41,Assertive
ZM0071,6,1,1,1,3,1,3,5,1,1,3,5,2,3,2,3,3,5,4,7,1,0,1,0,32,Balanced
ZM0072,3,1,3,3,2,2,2,3,3,5,2,3,2,3,2,3,2,3,3,5,2,1,2,1,33,Balanced
ZM0074,1,5,3,3,3,1,4,7,2,3,3,5,3,5,2,3,5,9,1,1,1,0,2,1,43,Assertive
ZM0078,5,3,3,3,3,1,4,7,2,3,1,1,4,7,1,1,5,9,1,1,1,0,1,0,36,Balanced
ZM0081,3,1,4,5,2,2,2,3,3,5,2,3,2,3,1,1,5,9,2,3,1,0,1,0,35,Balanced
ZM0082,4,5,4,5,1,5,1,1,5,9,4,7,2,3,2,3,1,1,3,5,1,0,1,0,44,Assertive
ZM0084,3,1,5,7,1,5,2,3,4,7,2,3,3,5,1,1,3,5,4,7,1,0,1,0,44,Assertive
ZM0085,4,5,3,3,2,2,3,5,5,9,1,1,4,7,3,5,3,5,1,1,2,1,1,0,44,Assertive
ZM0087,4,5,1,1,1,5,3,5,2,3,4,7,1,1,4,7,3,5,3,5,1,0,1,0,44,Assertive
ZM0089,4,5,4,5,3,1,1,1,2,3,3,5,4,7,3,5,3,5,2,3,2,1,1,0,41,Assertive
ZM0091,2,3,4,5,3,1,2,3,2,3,4,7,2,3,3,5,3,5,3,5,2,1,1,0,41,Assertive
ZM0094,6,1,4,5,1,5,2,3,3,5,4,7,1,1,4,7,2,3,1,1,1,0,1,0,38,Balanced
ZM0098,3,1,5,7,1,5,2,3,2,3,2,3,3,5,2,3,5,9,2,3,2,1,2,1,44,Assertive
ZM0100,2,3,2,2,2,2,2,3,2,3,1,1,3,5,2,3,2,3,4,7,1,0,2,1,33,Balanced
ZM0102,4,5,3,3,3,1,4,7,1,1,3,5,1,1,3,5,4,7,1,1,1,0,2,1,37,Balanced
ZM0103,6,1,3,3,2,2,3,5,2,3,1,1,2,3,2,3,3,5,3,5,1,0,1,0,31,Balanced
ZM0104,2,3,2,2,2,2,3,5,5,9,4,7,4,7,4,7,5,9,3,5,2,1,1,0,57,Aggresive
ZM0107,6,1,5,7,2,2,4,7,3,5,4,7,1,1,2,3,2,3,4,7,1,0,1,0,43,Assertive
ZM0108,5,3,4,5,2,2,4,7,1,1,1,1,2,3,2,3,2,3,1,1,1,0,1,0,29,Balanced
ZM0109,1,5,2,2,2,2,3,5,2,3,2,3,4,7,2,3,5,9,2,3,2,1,1,0,43,Assertive
ZM0110,1,5,2,2,3,1,4,7,3,5,1,1,4,7,1,1,3,5,1,1,1,0,2,1,36,Balanced
ZM0113,3,1,3,3,2,2,4,7,5,9,4,7,3,5,1,1,3,5,4,7,2,1,1,0,48,Assertive
ZM0115,1,5,1,1,2,2,3,5,2,3,1,1,1,1,3,5,4,7,3,5,1,0,2,1,36,Balanced
ZM0116,6,1,5,7,2,2,3,5,1,1,3,5,4,7,2,3,3,5,1,1,1,0,2,1,38,Balanced
ZM0118,2,3,2,2,3,1,1,1,2,3,1,1,2,3,1,1,1,1,2,3,1,0,1,0,19,Conservative
ZM0119,6,1,3,3,3,1,1,1,3,5,3,5,2,3,1,1,4,7,3,5,2,1,2,1,34,Balanced
ZM0121,1,5,2,2,1,5,2,3,2,3,3,5,3,5,1,1,4,7,1,1,2,1,2,1,39,Balanced
ZM0122,4,5,5,7,1,5,1,1,1,1,2,3,1,1,3,5,3,5,4,7,2,1,1,0,41,Assertive
ZM0124,1,5,4,5,1,5,3,5,5,9,3,5,3,5,2,3,3,5,2,3,1,0,2,1,51,Assertive
ZM0126,6,1,5,7,2,2,2,3,3,5,1,1,3,5,2,3,5,9,1,1,1,0,1,0,37,Balanced
ZM0127,5,3,4,5,3,1,2,3,1,1,1,1,3,5,2,3,4,7,4,7,1,0,2,1,37,Balanced
ZM0128,6,1,3,3,1,5,2,3,2,3,2,3,3,5,3,5,2,3,4,7,2,1,2,1,40,Balanced
ZM0129,4,5,1,1,1,5,2,3,2,3,4,7,4,7,3,5,3,5,2,3,2,1,1,0,45,Assertive
ZM0131,6,1,2,2,2,2,2,3,2,3,4,7,2,3,3,5,5,9,2,3,1,0,2,1,39,Balanced
ZM0132,3,1,1,1,1,5,2,3,1,1,4,7,3,5,4,7,3,5,3,5,2,1,2,1,42,Assertive
ZM0133,5,3,5,7,2,2,2,3,3,5,2,3,4,7,3,5,4,7,2,3,2,1,2,1,47,Assertive
ZM0134,4,5,4,5,1,5,3,5,3,5,4,7,4,7,2,3,1,1,2,3,2,1,1,0,47,Assertive
ZM0136,3,1,1,1,2,2,2,3,5,9,3,5,1,1,3,5,1,1,2,3,2,1,2,1,33,Balanced
ZM0137,6,1,4,5,3,1,4,7,2,3,3,5,2,3,3,5,3,5,3,5,2,1,2,1,42,Assertive
ZM0138,3,1,2,2,3,1,2,3,3,5,2,3,1,1,3,5,5,9,1,1,1,0,2,1,32,Balanced
